"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"469","ANKRD20A4P",0.281766218840674,1.31869559561219,1
"470","ANKRD20A5P",3.74451695624274e-08,5.71610878201668,8.70300630969938e-05
"471","ANKRD20A7P",0.211630625365283,0.201377588357018,1
"472","ANKRD20A8P",0.000884173297966403,32.6088454955111,0.293570797019073
"473","ANKRD24",0.677122526752348,2.62855979257664,1
"474","ANKRD26",1,Inf,1
"475","ANKRD26P1",1,Inf,1
"476","ANKRD27",1,Inf,1
"477","ANKRD28",1,Inf,1
"478","ANKRD30A",0.899897937890514,1.05234876783947,1
"479","ANKRD30B",0.586615538234792,0.762060451995936,1
"480","ANKRD30BP1",0.424248676906291,0.546389098590793,1
"481","ANKRD31",1,Inf,1
"482","ANKRD33",0.674968115471646,2.6526884325472,1
"483","ANKRD34A",0.3,0,1
"484","ANKRD34C",0.513559322033898,0.421541817082256,1
"485","ANKRD36",0.00188091301350994,1.65295878680499,0.558126193806988
"486","ANKRD36B",0.140637771113305,1.69287284579668,1
"487","ANKRD36BP2",0.0832164912676316,0.558317400513659,1
"488","ANKRD36C",0.000777074854739244,1.75291765448849,0.273648087482568
"489","ANKRD40",1,Inf,1
"490","ANKRD44",0.312105949068367,Inf,1
"491","ANKRD50",1,1.29359912432262,1
"492","ANKRD52",1,Inf,1
"493","ANKRD53",0.582421964874607,0.418072417457107,1
"494","ANKRD6",0.243225502448196,0.412130122812851,1
"495","ANKRD60",1,Inf,1
"496","ANKRD62",1,Inf,1
"497","ANKRD63",1,Inf,1
"498","ANKRD9",1,Inf,1
"499","ANKS1A",0.551149131767109,Inf,1
"500","ANKS1B",1,0.854030472826908,1
"501","ANKUB1",1,Inf,1
"502","ANKZF1",0.211630625365283,0.201377588357018,1
"503","ANLN",1,Inf,1
"504","ANO1",1,0.854030472826908,1
"505","ANO10",0.513559322033898,0.421541817082256,1
"506","ANO2",1,Inf,1
"507","ANO3",1,Inf,1
"508","ANO4",0.3,0,1
"509","ANO7",1,1.29359912432262,1
"510","ANO8",1,0.854030472826908,1
"511","ANO9",0.427061715871512,0.553032864614523,1
"512","ANP32A",0.3,0,1
"513","ANP32A-IT1",1,Inf,1
"514","ANP32BP3",1,Inf,1
"515","ANP32C",1,Inf,1
"516","ANP32E",1,1.09269124963878,1
"517","ANPEP",0.213125638406537,0.205779383316691,1
"518","ANTKMT",0.3,0,1
"519","ANTXR1",1,Inf,1
"520","ANTXR2",1,Inf,1
"521","ANTXRL",1,1.73685658454464,1
"522","ANXA10",1,Inf,1
"523","ANXA11",1,1.29359912432262,1
"524","ANXA13",1,Inf,1
"525","ANXA2P2",0.000594757205549084,0,0.222957209215674
"526","ANXA2R",1,Inf,1
"527","ANXA3",1,Inf,1
"528","ANXA6",1,0.854030472826908,1
"529","ANXA8L1",0.53448275862069,Inf,1
"530","AOC1",1,0.854030472826908,1
"531","AOC2",1,Inf,1
"532","AOC3",0.213125638406537,0.205779383316691,1
"533","AOC4P",1,Inf,1
"534","AOX1",1,1.29359912432262,1
"535","AP1AR",0.3,0,1
"536","AP1B1",1,Inf,1
"537","AP1G2",1,1.29359912432262,1
"538","AP1G2-AS1",0.3,0,1
"539","AP1M1",1,Inf,1
"540","AP2A1",0.636392259817837,0.634437248676446,1
"541","AP2A2",0.551149131767109,Inf,1
"542","AP2B1",1,Inf,1
"543","AP3B1",1,Inf,1
"544","AP3B2",1,Inf,1
"545","AP3D1",1,Inf,1
"546","AP3M2",1,Inf,1
"547","AP3S1",0.187331873596981,2.46015409252838,1
"548","AP4B1",0.3,0,1
"549","AP4M1",1,Inf,1
"550","AP5B1",1,Inf,1
"551","AP5M1",1,Inf,1
"552","AP5Z1",0.582421964874607,0.418072417457107,1
"553","APBA1",1,Inf,1
"554","APBA2",1,Inf,1
"555","APBA3",0.315070174093105,Inf,1
"556","APBB1",0.558049148463159,1.78429725724027,1
"557","APBB2",1,Inf,1
"558","APBB3",1,Inf,1
"559","APC",0.235629693242174,0.733585380260581,1
"560","APC2",1,1.07358283390354,1
"561","APCDD1",0.3,0,1
"562","APCDD1L",1,Inf,1
"563","APEH",0.513559322033898,0.421541817082256,1
"564","APEX1",1,Inf,1
"565","APH1A",1,Inf,1
"566","APLF",1,Inf,1
"567","APLNR",1,Inf,1
"568","APLP1",0.513559322033898,0.421541817082256,1
"569","APMAP",0.3,0,1
"570","APOA4",1,Inf,1
"571","APOA5",1,Inf,1
"572","APOB",0.430624670832097,0.561159697470651,1
"573","APOBEC3A",1,Inf,1
"574","APOBEC3B",0.306093697130025,Inf,1
"575","APOBEC3D",0.3,0,1
"576","APOBEC3F",1,Inf,1
"577","APOBEC4",0.3,0,1
"578","APOBR",0.582421964874607,0.418072417457107,1
"579","APOC1P1",0.3,0,1
"580","APOC3",1,Inf,1
"581","APOC4",1,Inf,1
"582","APOE",1,Inf,1
"583","APOL3",1,Inf,1
"584","APOL4",0.517241379310345,0.414037037905611,1
"585","APOL5",1,Inf,1
"586","APOOL",1,Inf,1
"587","APP",0.28735632183908,Inf,1
"588","APPL1",1,Inf,1
"589","APRG1",1,Inf,1
"590","APRT",0.206896551724138,0.187520043477211,1
"591","AQP10",0.551149131767109,Inf,1
"592","AQP11",1,Inf,1
"593","AQP12A",0.513559322033898,0.421541817082256,1
"594","AQP12B",1,Inf,1
"595","AQP2",1,Inf,1
"596","AQP5",1,Inf,1
"597","AQR",1,Inf,1
"598","AR",1,Inf,1
"599","ARAF",0.3,0,1
"600","ARAP1",1,0.854030472826908,1
"601","ARAP1-AS2",1,Inf,1
"602","ARAP2",0.213125638406537,0.205779383316691,1
"603","ARAP3",1,1.29359912432262,1
"604","ARF1",0.3,0,1
"605","ARF3",1,Inf,1
"606","ARFGAP1",0.513559322033898,0.421541817082256,1
"607","ARFGAP2",1,Inf,1
"608","ARFGEF2",1,0.854030472826908,1
"609","ARFGEF3",1,Inf,1
"610","ARFIP1",1,Inf,1
"611","ARFIP2",1,Inf,1
"612","ARGLU1",0.388819156855139,0.404268003038607,1
"613","ARHGAP1",1,Inf,1
"614","ARHGAP10",1,Inf,1
"615","ARHGAP11A",1,Inf,1
"616","ARHGAP15",1,Inf,1
"617","ARHGAP18",0.3,0,1
"618","ARHGAP19",1,Inf,1
"619","ARHGAP22",0.312105949068367,Inf,1
"620","ARHGAP23",0.513559322033898,0.421541817082256,1
"621","ARHGAP23P1",0.142635370317899,0.482791035238612,1
"622","ARHGAP24",0.513559322033898,0.421541817082256,1
"623","ARHGAP25",1,Inf,1
"624","ARHGAP26",1,Inf,1
"625","ARHGAP27",0.0801825293350717,0.13508386118405,1
"626","ARHGAP27P2",0.3,0,1
"627","ARHGAP28",0.513559322033898,0.421541817082256,1
"628","ARHGAP29",1,Inf,1
"629","ARHGAP31",1,Inf,1
"630","ARHGAP32",0.0864406779661016,0,1
"631","ARHGAP33",1,1.29359912432262,1
"632","ARHGAP36",1,Inf,1
"633","ARHGAP39",0.670163493490176,2.18209082999063,1
"634","ARHGAP4",1,Inf,1
"635","ARHGAP40",1,Inf,1
"636","ARHGAP42-AS1",0.3,0,1
"637","ARHGAP44",1,Inf,1
"638","ARHGAP45",1,1.29636264341262,1
"639","ARHGAP5",0.322691464366559,Inf,1
"640","ARHGAP6",1,1.29359912432262,1
"641","ARHGAP8",0.3,0,1
"642","ARHGAP9",0.513559322033898,0.421541817082256,1
"643","ARHGDIA",1,Inf,1
"644","ARHGEF1",0.551149131767109,Inf,1
"645","ARHGEF10L",0.551149131767109,Inf,1
"646","ARHGEF11",1,Inf,1
"647","ARHGEF12",0.513559322033898,0.421541817082256,1
"648","ARHGEF15",1,1.73685658454464,1
"649","ARHGEF16",1,1.73685658454464,1
"650","ARHGEF17",0.551149131767109,Inf,1
"651","ARHGEF18",1,1.29359912432262,1
"652","ARHGEF19",1,Inf,1
"653","ARHGEF2",1,Inf,1
"654","ARHGEF25",0.551149131767109,Inf,1
"655","ARHGEF26",1,Inf,1
"656","ARHGEF28",1,Inf,1
"657","ARHGEF33",1,0.854030472826908,1
"658","ARHGEF37",1,1.29359912432262,1
"659","ARHGEF38",1,Inf,1
"660","ARHGEF39",0.3,0,1
"661","ARHGEF4",1,Inf,1
"662","ARHGEF40",0.3,0,1
"663","ARHGEF5",1,Inf,1
"664","ARHGEF7",1,Inf,1
"665","ARID1A",0.847961306318941,1.04587877132708,1
"666","ARID1B",0.468138031611425,1.23793988340785,1
"667","ARID2",0.561499286193272,0.812334724786595,1
"668","ARID3A",0.551149131767109,Inf,1
